level2.phylum.gg,level3.class.gg,level4.order.gg,level5.family.gg,level6.genus.gg
k__Bacteria;p__TPD-58,k__Bacteria;p__Armatimonadetes;c__SHA-37,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21,k__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__haloarchaeon
k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__Armatimonadetes;c__SJA-176,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15,k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloarcula
k__Bacteria;p__VHS-B3-43,k__Bacteria;p__Bacteroidetes;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacteriaceae
k__Bacteria;p__WPS-2,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi],k__Bacteria;p__Acidobacteria;c__AT-s2-57;o__,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae],k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacteriales
k__Bacteria;p__WS1,k__Bacteria;p__Bacteroidetes;c__[Saprospirae],k__Bacteria;p__Acidobacteria;c__AT-s54;o__,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__20c-4,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium
k__Bacteria;p__WS2,k__Bacteria;p__Bacteroidetes;c__At12OctB3,k__Bacteria;p__Acidobacteria;c__BPC102;o__,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__CCA47,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobaculum
k__Bacteria;p__WS3,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Acidobacteria;c__BPC102;o__B110,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__DHVEG-1,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobellus
k__Bacteria;p__WS4,k__Bacteria;p__Bacteroidetes;c__BME43,k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group II,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobiforma
k__Bacteria;p__WS5,k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Acidobacteria;c__DA052;o__E29,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group III,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halococcus
k__Bacteria;p__WS6,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__TMEG,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloferax
k__Bacteria;p__WWE1,k__Bacteria;p__Bacteroidetes;c__SB-5,k__Bacteria;p__Acidobacteria;c__DA052;o__HDB_SIOH1004,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halogeometricum
k__Bacteria;p__ZB3,k__Bacteria;p__Bacteroidetes;c__SM1A07,k__Bacteria;p__Acidobacteria;c__EC1113;o__,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__[Aciduliprofundaceae],k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halogranum
,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,k__Bacteria;p__Acidobacteria;c__GAL08;o__,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__A10,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halolamina
,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__BSLdp215,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halomicrobium
,k__Bacteria;p__BHI80-139;c__,k__Bacteria;p__Acidobacteria;c__iii1-8;o__,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Picrophilaceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halonotius
,k__Bacteria;p__BHI80-139;c__bOHTK-109,k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20,k__Archaea;p__Nanoarchaeota;c__[Nanoarchaeoti];o__[Nanoarchaeotales];f__[Nanoarchaeotaceae],k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halopelagius
,k__Bacteria;p__BHI80-139;c__MD2896-B26,k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18,k__Bacteria;p__;c__;o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__halophilic
,k__Bacteria;p__BRC1;c__,k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36,k__Bacteria;p__[Caldithrix];c__KSB1;o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halopiger
,k__Bacteria;p__BRC1;c__NPL-UPA2,k__Bacteria;p__Acidobacteria;c__OS-K;o__,k__Bacteria;p__[Caldithrix];c__KSB1;o__GW-22;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloplanus
,k__Bacteria;p__BRC1;c__PRR-11,k__Bacteria;p__Acidobacteria;c__PAUC37f;o__,k__Bacteria;p__[Caldithrix];c__KSB1;o__MSB-5B5;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloquadratum
,k__Bacteria;p__Caldiserica;c__Caldisericia,k__Bacteria;p__Acidobacteria;c__RB25;o__,k__Bacteria;p__[Caldithrix];c__KSB1;o__Ucn15732;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorhabdus
,k__Bacteria;p__Caldiserica;c__OP5,k__Bacteria;p__Acidobacteria;c__S035;o__,k__Bacteria;p__[Caldithrix];c__KSB1;o__WM105;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorientalis
,k__Bacteria;p__Caldiserica;c__TTA-B1,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99,k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum
,k__Bacteria;p__Caldiserica;c__WCHB1-03,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales,k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Trueperaceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorussus
,k__Bacteria;p__Caldithrix;c__Caldithrixae,k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725,k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales;f__Thermaceae,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halosimplex
,k__Bacteria;p__CD12;c__,k__Bacteria;p__Acidobacteria;c__TM1;o__,k__Bacteria;p__AC1;c__;o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halostagnicola
,k__Bacteria;p__Chlamydiae;c__,k__Bacteria;p__Actinobacteria;c__;o__,k__Bacteria;p__AC1;c__B04R032;o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloterrigena
,k__Bacteria;p__Chlamydiae;c__Chlamydiia,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,k__Bacteria;p__AC1;c__HDBW-WB69;o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halovivax
,k__Bacteria;p__Chlorobi;c__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,k__Bacteria;p__AC1;c__SHA-114;o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natrialba
,k__Bacteria;p__Chlorobi;c__BSV26,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,k__Bacteria;p__AC1;c__TA06;o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronococcus
,k__Bacteria;p__Chlorobi;c__Chlorobia,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Acidobacteria;c__;o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronolimnobius
,k__Bacteria;p__Chlorobi;c__Ignavibacteria,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronomonas
,k__Bacteria;p__Chlorobi;c__OPB56,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__WCHB1-81,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__[Chloracidobacterales];f__[Chloracidobacteraceae],k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronorubrum
,k__Bacteria;p__Chlorobi;c__SJA-28,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__XKL75
,k__Bacteria;p__Chloroflexi;c__,k__Bacteria;p__Actinobacteria;c__KIST-JJY010;o__,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__MSP41;g__
,k__Bacteria;p__Chloroflexi;c__[Thermobacula],k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__Ellin7246;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__;g__
,k__Bacteria;p__Chloroflexi;c__Anaerolineae,k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__
,k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium
,k__Bacteria;p__Chloroflexi;c__Chloroflexi,k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter
,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,k__Bacteria;p__Actinobacteria;c__OPB41;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera
,k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter
,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MSBL1;g__
,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MSBL1;g__DL1A-100
,k__Bacteria;p__Chloroflexi;c__MVP-21,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MSBL1;g__SAGMEG-1
,k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__AD3;c__;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__pMC1;g__
,k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__AD3;c__ABS-6;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__pMC1;g__pMC1A4
,k__Bacteria;p__Chloroflexi;c__SAR202,k__Bacteria;p__AD3;c__JG37-AG-4;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__,k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__
,k__Bacteria;p__Chloroflexi;c__SHA-26,k__Bacteria;p__AncK6;c__;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__;g__
,k__Bacteria;p__Chloroflexi;c__SL56,k__Bacteria;p__Aquificae;c__Aquificae;o__,k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__
,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales,k__Bacteria;p__Acidobacteria;c__AT-s2-57;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus
,k__Bacteria;p__Chloroflexi;c__TK10,k__Bacteria;p__Armatimonadetes;c__;o__,k__Bacteria;p__Acidobacteria;c__AT-s54;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__
,k__Bacteria;p__Chloroflexi;c__TK17,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__,k__Bacteria;p__Acidobacteria;c__BPC102;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus
,k__Bacteria;p__Chrysiogenetes;c__Chrysiogenetes,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales],k__Bacteria;p__Acidobacteria;c__BPC102;o__B110;f__,k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus
,k__Bacteria;p__Cyanobacteria;c__,k__Bacteria;p__Armatimonadetes;c__0319-6E2;o__,k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__;f__;g__
,k__Bacteria;p__Cyanobacteria;c__4C0d-2,k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales,k__Bacteria;p__Acidobacteria;c__DA052;o__E29;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__F99a103;f__;g__
,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__FW68,k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__;g__
,k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales,k__Bacteria;p__Acidobacteria;c__DA052;o__HDB_SIOH1004;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__
,k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__SJA-22,k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella
,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Armatimonadetes;c__MD2902-B50;o__,k__Bacteria;p__Acidobacteria;c__GAL08;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__
,k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae,k__Bacteria;p__Armatimonadetes;c__OPB50;o__,k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__D002025C03;g__
,k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,k__Bacteria;p__Armatimonadetes;c__OS-L;o__,k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__
,k__Bacteria;p__Deferribacteres;c__Deferribacteres,k__Bacteria;p__Armatimonadetes;c__SHA-37;o__,k__Bacteria;p__Acidobacteria;c__iii1-8;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocalculus
,k__Bacteria;p__Dictyoglomi;c__Dictyoglomia,k__Bacteria;p__Armatimonadetes;c__SJA-176;o__,k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum
,k__Bacteria;p__Elusimicrobia;c__,k__Bacteria;p__Armatimonadetes;c__SJA-176;o__GAB-B06,k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__
,k__Bacteria;p__Elusimicrobia;c__4-29,k__Bacteria;p__Armatimonadetes;c__SJA-176;o__RB046,k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus
,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia,k__Bacteria;p__Armatimonadetes;c__SJA-176;o__TP122,k__Bacteria;p__Acidobacteria;c__OS-K;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis
,k__Bacteria;p__Elusimicrobia;c__Endomicrobia,k__Bacteria;p__Bacteroidetes;c__;o__,k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium
,k__Bacteria;p__Elusimicrobia;c__OP2,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales],k__Bacteria;p__Acidobacteria;c__RB25;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobiaceae
,k__Bacteria;p__EM19;c__,k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__,k__Bacteria;p__Acidobacteria;c__S035;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus
,k__Bacteria;p__EM3;c__,k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales],k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__
,k__Bacteria;p__FBP;c__,k__Bacteria;p__Bacteroidetes;c__At12OctB3;o__,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Candidatus Methanoregula
,k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae],k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea
,k__Bacteria;p__Fibrobacteres;c__,k__Bacteria;p__Bacteroidetes;c__BME43;o__,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__
,k__Bacteria;p__Fibrobacteres;c__B5-096,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__MVS-65,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum
,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__OPB3,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__;g__
,k__Bacteria;p__Fibrobacteres;c__SBZC_2415,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PAUC26f,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2a-2b;g__
,k__Bacteria;p__Fibrobacteres;c__TG3,k__Bacteria;p__Bacteroidetes;c__SB-5;o__,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PK34,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2c;g__
,k__Bacteria;p__Firmicutes;c__AHT28,k__Bacteria;p__Bacteroidetes;c__SM1A07;o__,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2D;g__
,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta
,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__,k__Bacteria;p__Acidobacteria;c__TM1;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__
,k__Bacteria;p__Firmicutes;c__Erysipelotrichi,k__Bacteria;p__BHI80-139;c__;o__,k__Bacteria;p__Actinobacteria;c__;o__;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__ANME-3
,k__Bacteria;p__Firmicutes;c__OPB54,k__Bacteria;p__BHI80-139;c__bOHTK-109;o__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__HMMVBeg-29
,k__Bacteria;p__Fusobacteria;c__Fusobacteriia,k__Bacteria;p__BHI80-139;c__MD2896-B26;o__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus
,k__Bacteria;p__GAL15;c__,k__Bacteria;p__BRC1;c__;o__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides
,k__Bacteria;p__Gemmatimonadetes;c__,k__Bacteria;p__BRC1;c__NPL-UPA2;o__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalobium
,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1,k__Bacteria;p__BRC1;c__PRR-11;o__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus
,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2,k__Bacteria;p__Caldiserica;c__Caldisericia;o__Caldisericales,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus
